analysis,rd,rd_lo,rd_hi,rr,rr_lo,rr_hi,n
Primary: MICE overlap (nadir tertiles),0.0512071872793461,0.029778451927781144,0.07263592263091107,1.579442963870093,1.2886745634354317,1.9358185122148852,3126
Complete-case overlap,0.048497878252382345,0.027148972506721818,0.07083109196128118,1.5751507891496785,1.2964518133935043,1.9924610137385423,2900
Doubly-robust AIPW,0.048473893631165624,0.02449836599767687,0.07007642745588079,1.5735159024534582,1.2500737217020828,1.9845038904743777,2900
Truncated stabilized IPTW,0.04895471913561493,0.026005456785137143,0.07350985025364933,1.5744700840134698,1.2793287041848507,2.003839659465484,2900
Selection-adjusted (IPCW),0.051031742763919655,0.028158226888718715,0.07548122092168923,1.5972486423085692,1.288128605727666,2.026375333575403,2900
Co-primary: absolute thresholds (<50 vs 55-64 mmHg),0.07656753718587957,0.047918296174697325,0.10276052563904052,1.7755078403888032,1.459086838774535,2.1403171016925744,3092
AKI-free at onset (reverse-causation guard),0.04975109279478958,0.0272282404270431,0.07183070465589213,1.6846239667327685,1.3184094342615298,2.183110803252395,2805
S: 1-hour nadir window,0.05441021615312083,0.0341291184748884,0.07377563893893842,1.6634319802406252,1.3594665690412138,2.0721209491904777,2896
S: 3-hour nadir window,0.05506772055058934,0.03169524833692267,0.07772009497181538,1.6704280332680272,1.351691941508896,2.104602128836993,2898
S: >=3 MAP readings in window,0.029042156470783703,-0.002740836300377317,0.056459343806951015,1.2590613194574867,0.9795755541994203,1.606154182372148,1969
S: exclude profound-only onsets,0.0462293066373335,0.008550639540488599,0.08856884010877916,1.455329479338352,1.0723309228962257,1.9624875576225094,1933
S: KDIGO stage>=1 composite,0.08774742400069113,0.05784083934560125,0.11425730154834338,1.450870027212204,1.277674500109158,1.639280414822587,2900
S: continuous depth (OR per -10 mmHg),,,,1.7068412659341117,1.4537089995812698,2.0040510913358296,4370
