variable,shallow,deep,smd
"Age, y","65.0 [49.0, 78.0]","68.0 [56.0, 80.0]",0.233
"Nadir MAP 2h, mmHg","61.0 [59.7, 62.3]","49.7 [46.0, 51.7]",-3.83
"Onset MAP, mmHg","62.3 [60.7, 63.7]","51.7 [48.3, 57.0]",-2.112
"AUT, mmHg-min","190.0 [115.5, 305.0]","451.7 [223.5, 791.8]",1.05
Minutes MAP<65,"82.0 [60.0, 105.0]","51.0 [21.0, 89.0]",-0.773
MAP readings 2h,"3.0 [2.0, 4.0]","5.0 [3.0, 7.0]",0.854
Pre-onset HR,"79.0 [67.0, 94.0]","84.0 [69.0, 101.0]",0.212
Pre-onset SpO2,"98.0 [96.0, 100.0]","98.0 [96.0, 100.0]",-0.041
Reference creatinine,"1.0 [0.7, 1.4]","1.1 [0.8, 1.7]",0.234
Triage acuity,"2.0 [2.0, 3.0]","2.0 [1.0, 2.0]",-0.296
Pre-onset lactate,"1.9 [1.4, 2.8]","2.2 [1.6, 3.3]",0.245
Male,40.4%,44.9%,0.092
Profound onset,0.0%,69.4%,2.131
Night onset,34.7%,31.0%,-0.079
Heart failure,38.1%,42.4%,0.089
Cirrhosis,12.8%,10.4%,-0.076
Diabetes,31.7%,37.3%,0.117
CKD (non-ESRD),19.7%,19.3%,-0.011
Coronary disease,35.0%,36.4%,0.029
COPD,20.7%,21.0%,0.009
Sepsis (admission),25.2%,35.8%,0.232
Stage>=2 AKI 7d,3.7%,8.6%,0.204
Death 7d,4.3%,10.5%,0.239
Composite 7d,7.4%,16.3%,0.28
